,name,position,original_size,cropped_size
63,1894_2,"[322, 1834]","[3365, 1820]","[1003, 1003]"
64,1895,"[371, 174]","[1793, 2604]","[1336, 1336]"
65,1895_2,"[830, 1185]","[7252, 5283]","[3823, 3823]"
66,1895_3,"[409, 135]","[2518, 1819]","[994, 994]"
67,1896,"[239, 526]","[2712, 1792]","[1380, 1380]"
68,1900,"[429, 794]","[2911, 2100]","[1362, 1362]"
69,1900_2,"[410, 1059]","[11942, 8914]","[8283, 8283]"
70,1901,"[1858, 940]","[3083, 3889]","[1235, 1235]"
71,1902,"[3983, 1570]","[7093, 9978]","[3233, 3233]"
72,1903,"[649, 766]","[3654, 3642]","[1690, 1690]"
73,1904,"[1014, 1600]","[6073, 4311]","[2652, 2652]"
74,1905,"[5354, 5038]","[16356, 11880]","[2934, 2934]"
75,1906,"[813, 229]","[2756, 3144]","[1941, 1941]"
76,1906_2,"[1114, 711]","[2065, 3198]","[1000, 1000]"
77,1907,"[2070, 773]","[5416, 6744]","[3139, 3139]"
78,1907_2,"[2297, 168]","[2694, 5169]","[2375, 2375]"
79,1907_3,"[1502, 1226]","[3381, 3869]","[1159, 1159]"
80,1912,"[392, 689]","[2908, 2104]","[1058, 1058]"
81,1912_2,"[626, 633]","[1824, 2288]","[1002, 1002]"
82,1915,"[891, 991]","[4732, 3815]","[2386, 2386]"
83,1917,"[830, 307]","[2892, 3384]","[1957, 1957]"
84,1917_2,"[2987, 2450]","[5808, 7568]","[1622, 1622]"
85,1917_3,"[808, 752]","[2272, 2661]","[1004, 1004]"
86,1917_4,"[5253, 4930]","[11504, 15316]","[3180, 3180]"
87,1918,"[1111, 881]","[3072, 3504]","[1357, 1357]"
88,1920,"[102, 12539]","[18139, 16783]","[1606, 1606]"
89,1920_2,"[1556, 1626]","[4833, 3528]","[1049, 1049]"
90,1920_3,"[2400, 2457]","[6696, 5463]","[1693, 1693]"
91,1921,"[1693, 1330]","[3412, 4384]","[1139, 1139]"
92,1921_2,"[1689, 1378]","[3492, 4584]","[1229, 1229]"
93,1922,"[1394, 545]","[3439, 2786]","[1006, 1006]"
94,1922_2,"[2578, 2546]","[8024, 8836]","[3184, 3184]"
95,1922_4,"[907, 939]","[3400, 5100]","[1006, 1006]"
96,1923,"[839, 581]","[1901, 2768]","[1004, 1004]"
97,1923_4,"[4186, 4626]","[12115, 9947]","[2929, 2929]"
98,1924,"[1346, 1043]","[4308, 3816]","[1181, 1181]"
99,1924_2,"[1683, 605]","[2790, 3616]","[1529, 1529]"
100,1924_3,"[8978, 8738]","[23522, 20575]","[6038, 6038]"
101,1925_2,"[5895, 5763]","[17466, 13652]","[3832, 3833]"
102,1925_3,"[8929, 8883]","[23598, 20427]","[5829, 5829]"
103,1926,"[3790, 3080]","[7643, 7282]","[1652, 1652]"
104,1929,"[5467, 4795]","[11332, 10921]","[1537, 1536]"
105,1931,"[3050, 2882]","[7371, 7127]","[1437, 1437]"
106,1936_2,"[360, 518]","[8850, 7194]","[5894, 5894]"
107,1937,"[6761, 4610]","[15774, 12862]","[3111, 3111]"
