,name,coordinates
20,1856_2,"[[35.20094599821034, 31.775753220655506], [35.25054873644583, 31.775753220655506], [35.20094599821034, 31.834756513942562], [35.25054873644583, 31.834756513942562]]"
21,1856_3,"[[35.21142410734019, 31.779686996619585], [35.24832510730294, 31.779686996619585], [35.21142410734019, 31.82211655977899], [35.24832510730294, 31.82211655977899]]"
22,1858_2,"[[35.21355713349403, 31.77528204947625], [35.25866780414048, 31.77528204947625], [35.21355713349403, 31.811834894548586], [35.25866780414048, 31.811834894548586]]"
23,1859,"[[35.214586431460454, 31.770205472288804], [35.25651629882048, 31.770205472288804], [35.214586431460454, 31.799375448152716], [35.25651629882048, 31.799375448152716]]"
24,186-,"[[35.22131626911167, 31.780343559654728], [35.25106376726238, 31.780343559654728], [35.22131626911167, 31.805350060173726], [35.25106376726238, 31.805350060173726]]"
25,1860,"[[35.21110388130189, 31.779094271934806], [35.24266999900467, 31.779094271934806], [35.21110388130189, 31.8156520228642], [35.24266999900467, 31.8156520228642]]"
26,1860_2,"[[35.20699187968181, 31.777762743611838], [35.239373154540864, 31.777762743611838], [35.20699187968181, 31.818715991098145], [35.239373154540864, 31.818715991098145]]"
27,1861,"[[35.21561363686107, 31.781682626236908], [35.240984197140946, 31.781682626236908], [35.21561363686107, 31.812210560300443], [35.240984197140946, 31.812210560300443]]"
28,1864,"[[35.21334615355067, 31.778796807539667], [35.26033772282944, 31.778796807539667], [35.21334615355067, 31.80965464962079], [35.26033772282944, 31.80965464962079]]"
29,1865,"[[35.21691736312812, 31.779779071871133], [35.23671752445148, 31.779779071871133], [35.21691736312812, 31.80458335469205], [35.23671752445148, 31.80458335469205]]"
30,1867,"[[35.21756340332315, 31.780881367973098], [35.24412879554763, 31.780881367973098], [35.21756340332315, 31.814889696637962], [35.24412879554763, 31.814889696637962]]"
31,1869,"[[35.19843265807688, 31.774754759474124], [35.2462429335593, 31.774754759474124], [35.19843265807688, 31.829660671714926], [35.2462429335593, 31.829660671714926]]"
32,1870,"[[35.21380503779113, 31.790628233164412], [35.24247790946351, 31.790628233164412], [35.21380503779113, 31.8289945971236], [35.24247790946351, 31.8289945971236]]"
33,1874,"[[35.22036835024691, 31.77598802059457], [35.25660872528803, 31.77598802059457], [35.22036835024691, 31.800234164039555], [35.25660872528803, 31.800234164039555]]"
34,1874_2,"[[35.21740250206732, 31.781654617304593], [35.23688421995868, 31.781654617304593], [35.21740250206732, 31.806840049229887], [35.23688421995868, 31.806840049229887]]"
35,1875,"[[35.21683606574897, 31.779886735575193], [35.24748865398074, 31.779886735575193], [35.21683606574897, 31.807492448957827], [35.24748865398074, 31.807492448957827]]"
36,1876,"[[35.21053850349389, 31.773778274623986], [35.255113528272595, 31.773778274623986], [35.21053850349389, 31.802765641853398], [35.255113528272595, 31.802765641853398]]"
37,1876_2,"[[35.220387723693634, 31.778219595872407], [35.258901394906374, 31.778219595872407], [35.220387723693634, 31.801084588510978], [35.258901394906374, 31.801084588510978]]"
38,1876_3,"[[35.223883309498596, 31.78104825765753], [35.24367662151527, 31.78104825765753], [35.223883309498596, 31.794002883468117], [35.24367662151527, 31.794002883468117]]"
39,1876_4,"[[35.21614810835752, 31.780685548790537], [35.23709123936573, 31.780685548790537], [35.21614810835752, 31.805216520341645], [35.23709123936573, 31.805216520341645]]"
40,1876_5,"[[35.21870098972038, 31.78332223780916], [35.23536045136327, 31.78332223780916], [35.21870098972038, 31.803625431266237], [35.23536045136327, 31.803625431266237]]"
41,1876_6,"[[35.20641802919485, 31.773565910420245], [35.243841437136474, 31.773565910420245], [35.20641802919485, 31.832447198205607], [35.243841437136474, 31.832447198205607]]"
42,1876_7,"[[35.20410266519075, 31.77685880960657], [35.24564483374566, 31.77685880960657], [35.20410266519075, 31.82833679750861], [35.24564483374566, 31.82833679750861]]"
43,1877,"[[35.21330466652385, 31.778119800531663], [35.2428752694977, 31.778119800531663], [35.21330466652385, 31.820990858771275], [35.2428752694977, 31.820990858771275]]"
44,1877_2,"[[35.20943528635191, 31.769058943666096], [35.26467812954454, 31.769058943666096], [35.20943528635191, 31.80668786182822], [35.26467812954454, 31.80668786182822]]"
45,1878,"[[35.2125430000891, 31.76443945616514], [35.274773042959765, 31.76443945616514], [35.2125430000891, 31.801063305064464], [35.274773042959765, 31.801063305064464]]"
46,1880,"[[35.22427227855646, 31.781485969985894], [35.243512595207434, 31.781485969985894], [35.22427227855646, 31.79467085195868], [35.243512595207434, 31.79467085195868]]"
47,1880_2,"[[35.14866565166778, 31.75318336604892], [35.242403297758976, 31.75318336604892], [35.14866565166778, 31.88046153757821], [35.242403297758976, 31.88046153757821]]"
48,1880_3,"[[35.21538965169819, 31.775279315704555], [35.24808178107787, 31.775279315704555], [35.21538965169819, 31.797406679616554], [35.24808178107787, 31.797406679616554]]"
49,1881,"[[35.222281953007155, 31.77532709689286], [35.25620081130936, 31.77532709689286], [35.222281953007155, 31.79596098316769], [35.25620081130936, 31.79596098316769]]"
50,1882_2,"[[35.215980128076346, 31.777944621989956], [35.24651898799869, 31.777944621989956], [35.215980128076346, 31.806145640186582], [35.24651898799869, 31.806145640186582]]"
51,1883,"[[35.21274511916738, 31.77725273572611], [35.24033045614059, 31.77725273572611], [35.21274511916738, 31.811953794062898], [35.24033045614059, 31.811953794062898]]"
52,1885,"[[35.21011100443901, 31.778368255951786], [35.238791712502206, 31.778368255951786], [35.21011100443901, 31.813738812026298], [35.238791712502206, 31.813738812026298]]"
53,1886,"[[35.20186889479493, 31.776622602566857], [35.250196859040145, 31.776622602566857], [35.20186889479493, 31.830364612539896], [35.250196859040145, 31.830364612539896]]"
54,1887,"[[35.220267074742665, 31.780478207104803], [35.23854628134509, 31.780478207104803], [35.220267074742665, 31.805445072482545], [35.23854628134509, 31.805445072482545]]"
55,1887_3,"[[35.22346770967909, 31.775959682103924], [35.257115890035976, 31.775959682103924], [35.22346770967909, 31.792451939356226], [35.257115890035976, 31.792451939356226]]"
56,1888,"[[35.2126741206234, 31.779662005520173], [35.24122594563427, 31.779662005520173], [35.2126741206234, 31.81637438176941], [35.24122594563427, 31.81637438176941]]"
57,189-,"[[35.22224098381277, 31.7791502798102], [35.246579151948225, 31.7791502798102], [35.22224098381277, 31.796651126089042], [35.246579151948225, 31.796651126089042]]"
58,1890,"[[35.21787908328032, 31.777933685398086], [35.25198478609555, 31.777933685398086], [35.21787908328032, 31.798035004835175], [35.25198478609555, 31.798035004835175]]"
59,1891,"[[35.2221165719676, 31.766507074055063], [35.262022444052874, 31.766507074055063], [35.2221165719676, 31.792515427651807], [35.262022444052874, 31.792515427651807]]"
60,1893,"[[35.22205864708599, 31.778227123102944], [35.255141230072766, 31.778227123102944], [35.22205864708599, 31.80051680621712], [35.255141230072766, 31.80051680621712]]"
61,1893_2,"[[35.22089833606057, 31.781791566679573], [35.24190103673403, 31.781791566679573], [35.22089833606057, 31.8042007216545], [35.24190103673403, 31.8042007216545]]"
62,1894,"[[35.19936195489688, 31.76314526781115], [35.25507017656553, 31.76314526781115], [35.19936195489688, 31.829813910046575], [35.25507017656553, 31.829813910046575]]"
63,1894_2,"[[35.20146041920866, 31.780385186389214], [35.224999827640644, 31.780385186389214], [35.20146041920866, 31.818097644657616], [35.224999827640644, 31.818097644657616]]"
64,1895,"[[35.22290922371479, 31.780747497701647], [35.25067597292733, 31.780747497701647], [35.22290922371479, 31.797069227364517], [35.25067597292733, 31.797069227364517]]"
65,1895_2,"[[35.202836718786195, 31.786813977023897], [35.250730555629936, 31.786813977023897], [35.202836718786195, 31.838677016338362], [35.250730555629936, 31.838677016338362]]"
66,1895_3,"[[35.22175881362935, 31.77912226091147], [35.24889399179037, 31.77912226091147], [35.22175881362935, 31.809652270840814], [35.24889399179037, 31.809652270840814]]"
67,1896,"[[35.219909232460985, 31.781794477218178], [35.23737936693691, 31.781794477218178], [35.219909232460985, 31.804654481710802], [35.23737936693691, 31.804654481710802]]"
68,1900,"[[35.21760547933287, 31.780325646705023], [35.23760719625703, 31.780325646705023], [35.21760547933287, 31.803807560079697], [35.23760719625703, 31.803807560079697]]"
69,1900_2,"[[35.222967733316445, 31.783552889562465], [35.23758166182424, 31.783552889562465], [35.222967733316445, 31.800471015461746], [35.23758166182424, 31.800471015461746]]"
70,1901,"[[35.21373047905722, 31.765857172274657], [35.25859070964321, 31.765857172274657], [35.21373047905722, 31.79649582302418], [35.25859070964321, 31.79649582302418]]"
71,1902,"[[35.21765257217543, 31.76953853832885], [35.26205557950427, 31.76953853832885], [35.21765257217543, 31.795979780840398], [35.26205557950427, 31.795979780840398]]"
72,1903,"[[35.217702561853315, 31.779620874408835], [35.24965761907286, 31.779620874408835], [35.217702561853315, 31.807434783998186], [35.24965761907286, 31.807434783998186]]"
73,1904,"[[35.216179915671106, 31.77964084344863], [35.23889171823122, 31.77964084344863], [35.216179915671106, 31.80699277179526], [35.23889171823122, 31.80699277179526]]"
74,1905,"[[35.20247071404325, 31.76361566477087], [35.25547132013894, 31.76361566477087], [35.20247071404325, 31.825242766299738], [35.25547132013894, 31.825242766299738]]"
75,1906,"[[35.218944713359754, 31.77950096730764], [35.25258760516063, 31.77950096730764], [35.218944713359754, 31.804507081539647], [35.25258760516063, 31.804507081539647]]"
76,1906_2,"[[35.21492716711675, 31.770985575383804], [35.25960844242304, 31.770985575383804], [35.21492716711675, 31.79565041209695], [35.25960844242304, 31.79565041209695]]"
77,1907,"[[35.22103872704623, 31.776277367493588], [35.25076992509164, 31.776277367493588], [35.22103872704623, 31.796004181647202], [35.25076992509164, 31.796004181647202]]"
78,1907_2,"[[35.223391089079136, 31.772356597888493], [35.25470357213791, 31.772356597888493], [35.223391089079136, 31.786278450973796], [35.25470357213791, 31.786278450973796]]"
79,1907_3,"[[35.21008168741642, 31.768883166542015], [35.25672210119963, 31.768883166542015], [35.21008168741642, 31.803227659594402], [35.25672210119963, 31.803227659594402]]"
80,1912,"[[35.20457133633102, 31.781175081700972], [35.252774182158554, 31.781175081700972], [35.20457133633102, 31.839589757867074], [35.252774182158554, 31.839589757867074]]"
81,1912_2,"[[35.21657013442432, 31.776419820063293], [35.24619206692849, 31.776419820063293], [35.21657013442432, 31.796882278935513], [35.24619206692849, 31.796882278935513]]"
82,1915,"[[35.21981753574793, 31.779662633005763], [35.240937022155634, 31.779662633005763], [35.21981753574793, 31.80273223007421], [35.240937022155634, 31.80273223007421]]"
83,1917,"[[35.22276280195869, 31.779196252939172], [35.24646585253193, 31.779196252939172], [35.22276280195869, 31.796386146025842], [35.24646585253193, 31.796386146025842]]"
84,1917_2,"[[35.188735701039825, 31.753812762902328], [35.28850078415095, 31.753812762902328], [35.188735701039825, 31.819470880440477], [35.28850078415095, 31.819470880440477]]"
85,1917_3,"[[35.21489623862376, 31.7747072717677], [35.25055354156589, 31.7747072717677], [35.21489623862376, 31.800580119188073], [35.25055354156589, 31.800580119188073]]"
86,1917_4,"[[35.202677668728846, 31.764338870920753], [35.27062408058108, 31.764338870920753], [35.202677668728846, 31.80754844065107], [35.27062408058108, 31.80754844065107]]"
87,1918,"[[35.215333792597036, 31.77412733422837], [35.25176155870051, 31.77412733422837], [35.215333792597036, 31.801659077591474], [35.25176155870051, 31.801659077591474]]"
88,1920,"[[35.10994308071263, 31.784065813585137], [35.26333260299932, 31.784065813585137], [35.10994308071263, 31.923972421838986], [35.26333260299932, 31.923972421838986]]"
89,1920_2,"[[35.201074544248264, 31.765887764027294], [35.25145934094496, 31.765887764027294], [35.201074544248264, 31.82459080103774], [35.25145934094496, 31.82459080103774]]"
90,1920_3,"[[35.20447250395904, 31.767325712648773], [35.24955639000386, 31.767325712648773], [35.20447250395904, 31.814147928265616], [35.24955639000386, 31.814147928265616]]"
91,1921,"[[35.206639437737884, 31.765884635540015], [35.26430190800097, 31.765884635540015], [35.206639437737884, 31.80369258398539], [35.26430190800097, 31.80369258398539]]"
92,1921_2,"[[35.2075749888009, 31.767041723014536], [35.26288185979152, 31.767041723014536], [35.2075749888009, 31.8032444775207], [35.26288185979152, 31.8032444775207]]"
93,1922,"[[35.21710336522608, 31.76765693122506], [35.255796171802295, 31.76765693122506], [35.21710336522608, 31.808126415389992], [35.255796171802295, 31.808126415389992]]"
94,1922_2,"[[35.20723719384323, 31.77309315069517], [35.25962806948127, 31.77309315069517], [35.20723719384323, 31.814223063135294], [35.25962806948127, 31.814223063135294]]"
95,1922_4,"[[35.19584052796196, 31.769238025860894], [35.3229679760251, 31.769238025860894], [35.19584052796196, 31.841066092230456], [35.3229679760251, 31.841066092230456]]"
96,1923,"[[35.21748286444808, 31.774169089201262], [35.253570371179755, 31.774169089201262], [35.21748286444808, 31.795633448786827], [35.253570371179755, 31.795633448786827]]"
97,1923_4,"[[35.18294802049849, 31.759397523831673], [35.26260350289713, 31.759397523831673], [35.18294802049849, 31.8420453602153], [35.26260350289713, 31.8420453602153]]"
98,1924,"[[35.21070860820541, 31.7698446039425], [35.259620136070204, 31.7698446039425], [35.21070860820541, 31.81816533389524], [35.259620136070204, 31.81816533389524]]"
99,1924_2,"[[35.219758085847936, 31.77151602136989], [35.25187271759657, 31.77151602136989], [35.219758085847936, 31.792558563613976], [35.25187271759657, 31.792558563613976]]"
100,1924_3,"[[35.197300097923225, 31.763539480762027], [35.25770240959946, 31.763539480762027], [35.197300097923225, 31.821460136575773], [35.25770240959946, 31.821460136575773]]"
101,1925_2,"[[35.20448624701907, 31.766236429357182], [35.252403817397955, 31.766236429357182], [35.20448624701907, 31.818348408637533], [35.252403817397955, 31.818348408637533]]"
102,1925_3,"[[35.20488361503793, 31.76660914589055], [35.25117176073136, 31.76660914589055], [35.20488361503793, 31.81250259230918], [35.25117176073136, 31.81250259230918]]"
103,1926,"[[35.197964757872846, 31.756152188535445], [35.260150227882654, 31.756152188535445], [35.197964757872846, 31.812934999192617], [35.260150227882654, 31.812934999192617]]"
104,1929,"[[35.18348029130074, 31.74289269205829], [35.278256899227735, 31.74289269205829], [35.18348029130074, 31.827915254196405], [35.278256899227735, 31.827915254196405]]"
105,1931,"[[35.19717479569505, 31.759126729151767], [35.26516004666306, 31.759126729151767], [35.19717479569505, 31.819317858244407], [35.26516004666306, 31.819317858244407]]"
106,1936_2,"[[35.224027928603796, 31.78281371527504], [35.2398617372239, 31.78281371527504], [35.224027928603796, 31.799412943230806], [35.2398617372239, 31.799412943230806]]"
107,1937,"[[35.20492926492895, 31.758819641308563], [35.260551165344324, 31.758819641308563], [35.20492926492895, 31.817800017464066], [35.260551165344324, 31.817800017464066]]"
