,name,coordinates
0,1837,"[[35.22498920615172, 31.784647819173063], [35.25218518302383, 31.784647819173063], [35.22498920615172, 31.803139938187808], [35.25218518302383, 31.803139938187808]]"
1,1841,"[[35.21206141864393, 31.774771218352353], [35.25584720287198, 31.774771218352353], [35.21206141864393, 31.80800761376378], [35.25584720287198, 31.80800761376378]]"
2,1841_2,"[[35.21315041103625, 31.77880598004603], [35.23842761254049, 31.77880598004603], [35.21315041103625, 31.813672585090725], [35.23842761254049, 31.813672585090725]]"
3,1842,"[[35.215458869725346, 31.78019797074071], [35.245008642542466, 31.78019797074071], [35.215458869725346, 31.811433086856958], [35.245008642542466, 31.811433086856958]]"
4,1843,"[[35.217724404008095, 31.77861024302831], [35.26244567740781, 31.77861024302831], [35.217724404008095, 31.805970209553582], [35.26244567740781, 31.805970209553582]]"
5,1845,"[[35.20713526265998, 31.775562191209545], [35.24657494458638, 31.775562191209545], [35.20713526265998, 31.818452545900193], [35.24657494458638, 31.818452545900193]]"
6,1845_2,"[[35.21597562599503, 31.780805944031453], [35.2420125563889, 31.780805944031453], [35.21597562599503, 31.810192760020122], [35.2420125563889, 31.810192760020122]]"
7,1846,"[[35.21914751714459, 31.780860816618084], [35.26040605872744, 31.780860816618084], [35.21914751714459, 31.807260646191217], [35.26040605872744, 31.807260646191217]]"
8,1846_2,"[[35.214020889809014, 31.780939736655643], [35.241555063708226, 31.780939736655643], [35.214020889809014, 31.81219966454879], [35.241555063708226, 31.81219966454879]]"
9,1846_3,"[[35.211710281764695, 31.779737271486777], [35.24780043340171, 31.779737271486777], [35.211710281764695, 31.81809969035633], [35.24780043340171, 31.81809969035633]]"
10,1849,"[[35.21103878456782, 31.778923126154247], [35.24238653271915, 31.778923126154247], [35.21103878456782, 31.81284705294005], [35.24238653271915, 31.81284705294005]]"
11,1852,"[[35.20985977412333, 31.776324418841085], [35.24793178930532, 31.776324418841085], [35.20985977412333, 31.81733318659476], [35.24793178930532, 31.81733318659476]]"
12,1852_2,"[[35.203636005424144, 31.775792644336587], [35.247195104609126, 31.775792644336587], [35.203636005424144, 31.82379755421903], [35.247195104609126, 31.82379755421903]]"
13,1852_3,"[[35.21011367010307, 31.775951511070765], [35.24144706482845, 31.775951511070765], [35.21011367010307, 31.816190923457327], [35.24144706482845, 31.816190923457327]]"
14,1853,"[[35.21851144448804, 31.780164250937425], [35.25683446226559, 31.780164250937425], [35.21851144448804, 31.80485774191006], [35.25683446226559, 31.80485774191006]]"
15,1853_2,"[[35.20687983887263, 31.775549897488265], [35.24373154052994, 31.775549897488265], [35.20687983887263, 31.817213186650793], [35.24373154052994, 31.817213186650793]]"
16,1853_3,"[[35.21278747493331, 31.778842274791625], [35.24435241094534, 31.778842274791625], [35.21278747493331, 31.810994344180628], [35.24435241094534, 31.810994344180628]]"
17,1854,"[[35.2111678802126, 31.779145029574146], [35.24448149904548, 31.779145029574146], [35.2111678802126, 31.811796580366472], [35.24448149904548, 31.811796580366472]]"
18,1855,"[[35.20932335813345, 31.780575362440455], [35.24012564852845, 31.780575362440455], [35.20932335813345, 31.81321254736254], [35.24012564852845, 31.81321254736254]]"
19,1856,"[[35.216695210017804, 31.779261105047855], [35.257095061124424, 31.779261105047855], [35.216695210017804, 31.809138456832535], [35.257095061124424, 31.809138456832535]]"
