,name,score,coordinate,year
13,./boundary/1852_,0.974226165892523,"[[35.23871698257483, 31.773069258865817], [35.23775438144407, 31.784402948660663], [35.22585555219766, 31.771910167181776], [35.2248929510669, 31.783243856976622]]",1852
14,./boundary/1853_2_,0.959724845215236,"[[35.23761557091902, 31.77172985433784], [35.23932829774405, 31.78303925924484], [35.2237629567487, 31.773533623355974], [35.22547568357374, 31.784843028262976]]",1853
15,./boundary/1853_3_,0.968646217114445,"[[35.24007005058349, 31.772632198175373], [35.23872912672811, 31.78569117281928], [35.225106059525025, 31.771022143949256], [35.22376513566965, 31.78408111859316]]",1853
16,./boundary/1853_,0.952430426066508,"[[35.239107594864485, 31.770763719844386], [35.24087187984609, 31.784047279693404], [35.22300456710654, 31.772585938859205], [35.22476885208815, 31.785869498708223]]",1853
17,./boundary/1854_,0.934887680416989,"[[35.23905943339141, 31.771609229177315], [35.240570438903, 31.783532234020203], [35.22262534137518, 31.773563675546022], [35.224136346886766, 31.78548668038891]]",1854
18,./boundary/1855_,0.948343694237048,"[[35.23930919718758, 31.77159652366304], [35.2386696695154, 31.78460344236105], [35.22440918103722, 31.770767640073554], [35.223769653365046, 31.783774558771565]]",1855
19,./boundary/1856_2_,0.878621946473118,"[[35.239456739724275, 31.77312783077672], [35.23824138050835, 31.78516393732572], [35.22604184101288, 31.771659748192434], [35.22482648179696, 31.78369585474143]]",1856
20,./boundary/1856_3_,0.950949546484661,"[[35.24118788399305, 31.77273562655853], [35.23943195363973, 31.78577855509986], [35.22414978077205, 31.7702384155967], [35.22239385041873, 31.783281344138032]]",1856
21,./boundary/1856_,0.946707777771585,"[[35.24115265698133, 31.76917833112408], [35.24271837278576, 31.785054561339937], [35.2212907649517, 31.77070190141898], [35.222856480756136, 31.78657813163484]]",1856
22,./boundary/1858_2_,0.977549737374752,"[[35.240948981966746, 31.770143456455965], [35.24149741614349, 31.785465567357523], [35.2232024225966, 31.770747613553432], [35.22375085677334, 31.78606972445499]]",1858
23,./boundary/1859_,0.975189988945056,"[[35.2388555617165, 31.771860676122436], [35.23907619387158, 31.784152861092338], [35.224689647141105, 31.772101043904534], [35.224910279296196, 31.78439322887444]]",1859
24,./boundary/186-_,0.971067931655934,"[[35.23958693923233, 31.77025094957875], [35.24012893188119, 31.784793556713527], [35.22345874618052, 31.770776854850173], [35.224000738829375, 31.785319461984955]]",1860
25,./boundary/1860_2_,0.974498406331059,"[[35.24049533113508, 31.772150179353975], [35.2391069019135, 31.785689107171294], [35.224197198597956, 31.770394311359503], [35.22280876937638, 31.78393323917682]]",1860
26,./boundary/1860_,0.976363331205288,"[[35.24040552340752, 31.7710466378391], [35.24040552340752, 31.784903598089198], [35.2235668827479, 31.7710466378391], [35.2235668827479, 31.784903598089198]]",1860
28,./boundary/1864_,0.970988438177806,"[[35.24040268619506, 31.77067416226854], [35.24066082822978, 31.78506331152837], [35.22319543797039, 31.77096628494943], [35.2234535800051, 31.785355434209258]]",1864
29,./boundary/1865_,0.98163216012952,"[[35.23792488892799, 31.77269555938078], [35.23792488892799, 31.78372791030368], [35.22515009897506, 31.77269555938078], [35.22515009897506, 31.78372791030368]]",1865
30,./boundary/1867_,0.972636232067294,"[[35.23970395177589, 31.772918727630774], [35.238275662568796, 31.784881039670573], [35.22566705688061, 31.77114656893953], [35.22423876767351, 31.783108880979327]]",1867
31,./boundary/1869_,0.970940647315622,"[[35.244258867450306, 31.77009719986978], [35.242414365826335, 31.788113382696164], [35.22226595658365, 31.767723819249095], [35.22042145495968, 31.785740002075478]]",1869
32,./boundary/1870_,0.950361167288994,"[[35.2463875455532, 31.764574233877568], [35.25028348114784, 31.787067460642216], [35.217696035616996, 31.76872626251817], [35.22159197121164, 31.791219489282824]]",1870
33,./boundary/1874_2_,0.987103751809835,"[[35.23925184024422, 31.771336104898833], [35.23902703009264, 31.78455892535291], [35.224167943640566, 31.771065885750478], [35.22394313348898, 31.784288706204556]]",1874
34,./boundary/1874_,0.980184295230083,"[[35.23857008524761, 31.772562723970648], [35.23857008524761, 31.784124491114305], [35.22507134025602, 31.772562723970648], [35.22507134025602, 31.784124491114305]]",1874
35,./boundary/1875_,0.970029178971607,"[[35.23967879322449, 31.771120712790914], [35.239441792668266, 31.78469846556349], [35.22408302836768, 31.770848487702732], [35.22384602781146, 31.78442624047531]]",1875
36,./boundary/1876_2_,0.93524117490496,"[[35.24005803188334, 31.769453327325714], [35.24141558139177, 31.784383071567667], [35.22239532131382, 31.770940144634206], [35.223752870822246, 31.78586988887616]]",1876
37,./boundary/1876_3_,0.957308794380582,"[[35.23854234060093, 31.7725831353776], [35.23854234060093, 31.784020963210377], [35.224783691975325, 31.7725831353776], [35.224783691975325, 31.784020963210377]]",1876
38,./boundary/1876_4_,0.980236619590484,"[[35.238523190681256, 31.772411316709505], [35.238523190681256, 31.78439992276858], [35.22435536291437, 31.772411316709505], [35.22435536291437, 31.78439992276858]]",1876
39,./boundary/1876_5_,0.98002769641183,"[[35.23834742972626, 31.772430502418118], [35.23855016640741, 31.783791193156933], [35.224486518704666, 31.772667094181074], [35.22468925538581, 31.78402778491989]]",1876
40,./boundary/1876_6_,0.976553888626875,"[[35.238806585984435, 31.772004037170397], [35.238806585984435, 31.784514760076267], [35.22435217763061, 31.772004037170397], [35.22435217763061, 31.784514760076267]]",1876
43,./boundary/1877_2_,0.922901774550748,"[[35.23866976526253, 31.77394353106486], [35.23653590683308, 31.784854197349993], [35.226551621374526, 31.771151366984363], [35.22441776294509, 31.782062033269497]]",1877
44,./boundary/1877_,0.95679321489536,"[[35.239442299641496, 31.771386742738105], [35.24012969400949, 31.784487029014564], [35.223596891551885, 31.772216041336407], [35.22428428591988, 31.78531632761287]]",1877
45,./boundary/1878_,0.961246612146735,"[[35.246536846988235, 31.764800418201933], [35.247439441427154, 31.78945949441386], [35.218311935082774, 31.76573797169912], [35.219214529521686, 31.79039704791105]]",1878
46,./boundary/1880_2_,0.972687242102626,"[[35.23920866141732, 31.77225450085071], [35.23920866141732, 31.784765223756576], [35.224262992125986, 31.77225450085071], [35.224262992125986, 31.784765223756576]]",1880
48,./boundary/1880_,0.9685115923701,"[[35.2382317325522, 31.77255894725488], [35.2382317325522, 31.783927138388524], [35.22522440944882, 31.77255894725488], [35.22522440944882, 31.783927138388524]]",1880
49,./boundary/1881_,0.980358266863052,"[[35.2389030825934, 31.772187982380913], [35.2389030825934, 31.78451290247135], [35.224593399229356, 31.772187982380913], [35.224593399229356, 31.78451290247135]]",1881
50,./boundary/1882_2_,0.984503908974483,"[[35.23864603518427, 31.772057026579542], [35.23864603518427, 31.784045632638616], [35.224478207417384, 31.772057026579542], [35.224478207417384, 31.784045632638616]]",1882
51,./boundary/1883_,0.97738862976522,"[[35.2388492688414, 31.77219646629537], [35.2388492688414, 31.784341021701554], [35.224521653543306, 31.77219646629537], [35.224521653543306, 31.784341021701554]]",1883
52,./boundary/1885_,0.963945876436884,"[[35.239432323923936, 31.770928821397323], [35.239432323923936, 31.784101487314086], [35.22436850704927, 31.770928821397323], [35.22436850704927, 31.784101487314086]]",1885
53,./boundary/1886_,0.973965296753135,"[[35.242962419470295, 31.7679252277693], [35.242962419470295, 31.787477326132663], [35.21986456692913, 31.7679252277693], [35.21986456692913, 31.787477326132663]]",1886
54,./boundary/1887_3_,0.971788709750868,"[[35.238744254431666, 31.773738177203253], [35.23707476715159, 31.78478922588167], [35.22645425739083, 31.771698230573545], [35.224784770110745, 31.782749279251963]]",1887
55,./boundary/1887_,0.97910647599013,"[[35.23867389847546, 31.772001221830028], [35.23867389847546, 31.78426542802839], [35.22436421511141, 31.772001221830028], [35.22436421511141, 31.78426542802839]]",1887
56,./boundary/1888_,0.978905034252108,"[[35.238856728875966, 31.771752332793707], [35.23886248392608, 31.784602734999396], [35.223816737646494, 31.771745682323125], [35.22382249269661, 31.784596084528815]]",1888
57,./boundary/189-_,0.979836714712163,"[[35.23802959495766, 31.77236970172684], [35.23802959495766, 31.784094821938467], [35.22453084996607, 31.77236970172684], [35.22453084996607, 31.784094821938467]]",1890
58,./boundary/1890_,0.975240304240611,"[[35.23869393874906, 31.77229510712904], [35.23869393874906, 31.78413171818261], [35.224647947338894, 31.77229510712904], [35.224647947338894, 31.78413171818261]]",1890
59,./boundary/1891_,0.972652559397125,"[[35.23956992256134, 31.771656167979], [35.23956992256134, 31.784828833895762], [35.22382138673782, 31.771656167979], [35.22382138673782, 31.784828833895762]]",1891
60,./boundary/1893_2_,0.980833730491006,"[[35.23899128174779, 31.772152716732705], [35.23877898483261, 31.78431519885798], [35.22439141502999, 31.771897875111204], [35.224179118114805, 31.784060357236473]]",1893
61,./boundary/1893_,0.983931580926138,"[[35.23927711683946, 31.77191224089016], [35.239053531409056, 31.784721441619006], [35.22437268966861, 31.771652083146176], [35.224149104238215, 31.78446128387502]]",1893
62,./boundary/1894_2_,0.979117862938423,"[[35.23925671365976, 31.771371159856564], [35.239026818940324, 31.7845418195125], [35.22382932413205, 31.771101873770682], [35.22359942941261, 31.784272533426623]]",1894
63,./boundary/1894_,0.979996976709845,"[[35.238014819883134, 31.772575474431065], [35.23821172366851, 31.78385608474061], [35.22521336899843, 31.772798924587434], [35.22541027278381, 31.784079534896975]]",1894
64,./boundary/1895_2_,0.977919306098301,"[[35.239126235550344, 31.77205778759362], [35.239126235550344, 31.78420234299981], [35.2248165521863, 31.77205778759362], [35.2248165521863, 31.78420234299981]]",1895
65,./boundary/1895_3_,0.954865412260126,"[[35.24839898858574, 31.766183846664717], [35.247950008509555, 31.79300724122991], [35.214399329061905, 31.765566117127825], [35.21395034898572, 31.79238951169302]]",1895
66,./boundary/1895_,0.965221949718258,"[[35.238712445066554, 31.772126773753108], [35.238712445066554, 31.78411537981218], [35.223805747533476, 31.772126773753108], [35.223805747533476, 31.78411537981218]]",1895
67,./boundary/1896_,0.951038787854567,"[[35.23851517951051, 31.772289648640616], [35.23851517951051, 31.78403320457584], [35.2247565308849, 31.772289648640616], [35.2247565308849, 31.78403320457584]]",1896
68,./boundary/1900_2_,0.978024346554578,"[[35.238191432621846, 31.772657537770353], [35.238191432621846, 31.783855291255815], [35.225184109518466, 31.772657537770353], [35.225184109518466, 31.783855291255815]]",1900
69,./boundary/1900_,0.981173688555751,"[[35.23829390849732, 31.772281782606267], [35.238498540060775, 31.784005117025288], [35.224668526328024, 31.7725196145367], [35.22487315789148, 31.784242948955725]]",1900
70,./boundary/1901_,0.981732950841419,"[[35.23865271726004, 31.772046251735006], [35.23865271726004, 31.784350867179494], [35.22462396019516, 31.772046251735006], [35.22462396019516, 31.784350867179494]]",1901
71,./boundary/1902_,0.977200809531211,"[[35.23909526961785, 31.772453046599512], [35.23909526961785, 31.784441652658586], [35.22464086126403, 31.772453046599512], [35.22464086126403, 31.784441652658586]]",1902
72,./boundary/1903_,0.983928075742215,"[[35.23923953930338, 31.771968531230087], [35.23901898041011, 31.784604341762943], [35.224639672585575, 31.771713689608585], [35.224419113692306, 31.78434950014144]]",1903
73,./boundary/1904_,0.977794508927262,"[[35.23861983112696, 31.77231710314829], [35.23861983112696, 31.78415371420186], [35.22459107406208, 31.77231710314829], [35.22459107406208, 31.78415371420186]]",1904
74,./boundary/1905_,0.973032987932819,"[[35.23793419956465, 31.77261026555734], [35.23793419956465, 31.783741266413976], [35.22492687646126, 31.77261026555734], [35.22492687646126, 31.783741266413976]]",1905
75,./boundary/1906_2_,0.964975631067071,"[[35.24206611458051, 31.76912401574803], [35.24206611458051, 31.78682283464567], [35.22131577518328, 31.76912401574803], [35.22131577518328, 31.78682283464567]]",1906
76,./boundary/1906_,0.973798121490446,"[[35.23876269933768, 31.772243731271647], [35.23876269933768, 31.784548346716132], [35.22500405071207, 31.772243731271647], [35.22500405071207, 31.784548346716132]]",1906
77,./boundary/1907_2_,0.982157321366444,"[[35.238168169427134, 31.7721923173716], [35.238372160516214, 31.783878959038137], [35.22452652785191, 31.772430433111023], [35.22473051894099, 31.784117074777562]]",1907
78,./boundary/1907_3_,0.985124010452936,"[[35.23884435449768, 31.77211708772779], [35.2386320575825, 31.784279569853062], [35.22467868455959, 31.771869825039268], [35.224466387644405, 31.78403230716454]]",1907
79,./boundary/1907_,0.972399321240931,"[[35.23876166851843, 31.772389894805144], [35.23876166851843, 31.784226505858715], [35.22473291145356, 31.772389894805144], [35.22473291145356, 31.784226505858715]]",1907
80,./boundary/1912_2_,0.972116757003195,"[[35.24462428721242, 31.768214245669178], [35.24426119443826, 31.789015816769226], [35.220758534310455, 31.767797667402714], [35.2203954415363, 31.788599238502762]]",1912
82,./boundary/1915_,0.97314206440854,"[[35.238564767735895, 31.7725639362302], [35.23836298707657, 31.78412394246072], [35.22530293984722, 31.772332450163333], [35.22510115918789, 31.783892456393858]]",1915
83,./boundary/1917_2_,0.980377921990799,"[[35.23853725663163, 31.772247648549634], [35.23875211065977, 31.784095889634216], [35.224992598323524, 31.772474842057974], [35.22520745235166, 31.784323083142556]]",1917
84,./boundary/1917_3_,0.97482405810697,"[[35.24201535431651, 31.769210218276374], [35.24233641418331, 31.787603725726907], [35.22096250783393, 31.76957769707865], [35.22128356770074, 31.787971204529185]]",1917
85,./boundary/1917_4_,0.974850232541499,"[[35.2381777889923, 31.772069933194256], [35.238597837228355, 31.783875541281667], [35.22489184593447, 31.77252509189058], [35.225311894170524, 31.78433069997799]]",1917
86,./boundary/1917_,0.972833604635123,"[[35.238711500746426, 31.772001958901477], [35.238711500746426, 31.78414651430766], [35.22454367297954, 31.772001958901477], [35.22454367297954, 31.78414651430766]]",1917
87,./boundary/1918_,0.973968949654674,"[[35.23867701804053, 31.771645842765853], [35.23890220705075, 31.783919389484144], [35.22444026625194, 31.77188157672585], [35.22466545526215, 31.784155123444144]]",1918
88,./boundary/1920_2_,0.974067244144894,"[[35.23931200406401, 31.772436301566955], [35.23931200406401, 31.784843114814137], [35.22455918211836, 31.772436301566955], [35.22455918211836, 31.784843114814137]]",1920
89,./boundary/1920_3_,0.972706280020942,"[[35.2391749907473, 31.771913679164946], [35.239398960345106, 31.784744888829753], [35.22411346816491, 31.77217657901954], [35.22433743776271, 31.785007788684347]]",1920
90,./boundary/1920_,0.941832960847822,"[[35.238582655907564, 31.772064068440528], [35.23879460762451, 31.7842067741721], [35.224692381739835, 31.772306524077997], [35.224904333456784, 31.78444922980957]]",1920
91,./boundary/1921_2_,0.970935757156626,"[[35.23910126431175, 31.77169210000652], [35.23956507178196, 31.784669502036913], [35.22397506449149, 31.772207875719516], [35.2244388719617, 31.78518527774991]]",1921
92,./boundary/1921_,0.977069307385817,"[[35.238985898264445, 31.771603703708866], [35.239217779457654, 31.784540848057844], [35.22424744241, 31.771854149225362], [35.2244793236032, 31.78479129357434]]",1921
93,./boundary/1922_2_,0.974271127379138,"[[35.23875408901372, 31.77217780750736], [35.23875408901372, 31.78424388436488], [35.22472533194884, 31.77217780750736], [35.22472533194884, 31.78424388436488]]",1922
94,./boundary/1922_4_,0.978622626616482,"[[35.241086098282274, 31.770407352309437], [35.24080875720584, 31.786296211936918], [35.22249797529034, 31.77008289541572], [35.222220634213905, 31.7859717550432]]",1922
95,./boundary/1922_,0.966204371743262,"[[35.24419460502844, 31.766207216207118], [35.245022403467786, 31.788600253522432], [35.2191558325492, 31.767031039956343], [35.21998363098855, 31.789424077271658]]",1922
96,./boundary/1923_4_,0.971059981138616,"[[35.23814252505979, 31.772406252613717], [35.23814252505979, 31.783739942408562], [35.22513520195641, 31.772406252613717], [35.22513520195641, 31.783739942408562]]",1923
97,./boundary/1923_,0.968628013918546,"[[35.24332868449501, 31.76831205204025], [35.24298655770781, 31.787912482551842], [35.21985497681526, 31.767902316948593], [35.21951285002806, 31.787502747460188]]",1923
98,./boundary/1924_2_,0.954366831194394,"[[35.239084607171826, 31.771528175097714], [35.239084607171826, 31.78496145131139], [35.22417790963874, 31.771528175097714], [35.22417790963874, 31.78496145131139]]",1924
99,./boundary/1924_3_,0.970597332589823,"[[35.23848425196851, 31.772623378063656], [35.23848425196851, 31.78431179993346], [35.22511181102362, 31.772623378063656], [35.22511181102362, 31.78431179993346]]",1924
100,./boundary/1924_,0.959886413703184,"[[35.24068386159347, 31.770414581265875], [35.24095765574324, 31.785693084529193], [35.22262152251822, 31.77072156917698], [35.22289531666799, 31.786000072440302]]",1924
101,./boundary/1925_2_,0.969482089105291,"[[35.23836274053974, 31.772485395078537], [35.23816250965507, 31.78395661477887], [35.2248660514724, 31.77224980949455], [35.224665820587724, 31.783721029194883]]",1925
102,./boundary/1925_3_,0.973346172418452,"[[35.23804410262437, 31.772642059376263], [35.23804410262437, 31.783924388039107], [35.224917309274346, 31.772642059376263], [35.224917309274346, 31.783924388039107]]",1925
103,./boundary/1926_,0.978528903580954,"[[35.23841463916342, 31.772063939083395], [35.23841463916342, 31.784368554527884], [35.224522249117406, 31.772063939083395], [35.224522249117406, 31.784368554527884]]",1926
104,./boundary/1929_,0.945055042177318,"[[35.23830548715179, 31.772748372179958], [35.23811256731109, 31.784065289317613], [35.22527259729482, 31.772515501531995], [35.22507967745412, 31.78383241866965]]",1929
105,./boundary/1931_,0.954937589362417,"[[35.238036655808536, 31.771876477920237], [35.2384656193225, 31.78399064219827], [35.22427524287822, 31.772350396506248], [35.22470420639218, 31.784464560784283]]",1931
106,./boundary/1936_2_,0.969315667054525,"[[35.238233062804014, 31.772668810084305], [35.238233062804014, 31.783668665128197], [35.225225739700626, 31.772668810084305], [35.225225739700626, 31.783668665128197]]",1936
107,./boundary/1937_,0.980033441441758,"[[35.23836823112928, 31.772539681377037], [35.23836823112928, 31.78411937374107], [35.225119752557006, 31.772539681377037], [35.225119752557006, 31.78411937374107]]",1937
