,name,score,coordinate,year
0,./boundary/1837_,0.935689460760228,"[[35.23739887071608, 31.769876676627625], [35.241693054752986, 31.781958376413115], [35.22238589442666, 31.77432797833882], [35.226680078463566, 31.78640967812431]]",1837
1,./boundary/1841_2_,0.956217000819569,"[[35.238639382966944, 31.770876351857755], [35.240501277394586, 31.783183669033846], [35.22344652956551, 31.77285735868736], [35.22530842399315, 31.785164675863452]]",1841
2,./boundary/1841_,0.979337399148981,"[[35.23871047233152, 31.773092092992393], [35.237748316048595, 31.784390201739345], [35.22579646291901, 31.771931380139105], [35.22483430663608, 31.783229488886057]]",1841
3,./boundary/1842_,0.955602732479096,"[[35.23853340642049, 31.77119284688274], [35.24018264044552, 31.78358525373574], [35.223418817011286, 31.772899502602847], [35.22506805103632, 31.78529190945585]]",1842
4,./boundary/1843_,0.937686883458922,"[[35.23775601936774, 31.771302031920296], [35.24079893949006, 31.783238410436603], [35.22337565750442, 31.773762707045268], [35.226418577626745, 31.78569908556157]]",1843
5,./boundary/1845_2_,0.953187761070829,"[[35.23914682803352, 31.770902601799257], [35.24102549690671, 31.78335590888012], [35.22350228292224, 31.772947930688055], [35.22538095179543, 31.785401237768923]]",1845
6,./boundary/1845_,0.95569115655099,"[[35.23822768922406, 31.771916189331748], [35.23994288101104, 31.78315795189222], [35.223732578184006, 31.77378855461396], [35.225447769970984, 31.785030317174435]]",1845
7,./boundary/1846_2_,0.944483124431311,"[[35.238110239774514, 31.770532471099983], [35.24068121843131, 31.78294903658247], [35.22286310833335, 31.773315845237338], [35.22543408699015, 31.785732410719824]]",1846
8,./boundary/1846_3_,0.97804349256222,"[[35.23941784704761, 31.771388102435083], [35.23989336112036, 31.78436365943256], [35.22412350201716, 31.771895417711793], [35.224599016089904, 31.78487097470927]]",1846
9,./boundary/1846_,0.935577739788668,"[[35.23840793713627, 31.769950156290793], [35.242447864443456, 31.782539178863257], [35.222195877872956, 31.77408781849966], [35.22623580518014, 31.786676841072122]]",1846
10,./boundary/1849_,0.94560493031104,"[[35.23840462577266, 31.77098088762502], [35.24058590319637, 31.782825937059414], [35.22301031231864, 31.77357999271947], [35.225191589742344, 31.785425042153864]]",1849
11,./boundary/1852_2_,0.97155485852212,"[[35.24154051400825, 31.771741599491456], [35.239806105761886, 31.78633298638242], [35.22456945466349, 31.769589348946063], [35.222835046417124, 31.784180735837023]]",1852
12,./boundary/1852_3_,0.969019633446668,"[[35.24143904299914, 31.771258769816342], [35.24016015059049, 31.786412902250053], [35.22342826897335, 31.769625217639234], [35.2221493765647, 31.78477935007295]]",1852
