,name,coordinates
93,1922,"[[35.20619853528842, 31.758510304249757], [35.27620470713129, 31.758510304249757], [35.20619853528842, 31.835169828403682], [35.27620470713129, 31.835169828403682]]"
94,1922_2,"[[35.21316826743104, 31.774460497673587], [35.252693566565604, 31.774460497673587], [35.21316826743104, 31.804816176994095], [35.252693566565604, 31.804816176994095]]"
95,1922_4,"[[35.2047633319388, 31.7716284900601], [35.29993132841327, 31.7716284900601], [35.2047633319388, 31.826884356436647], [35.29993132841327, 31.826884356436647]]"
96,1923,"[[35.20634242953042, 31.771136498949932], [35.270379878049724, 31.771136498949932], [35.20634242953042, 31.809538762337326], [35.270379878049724, 31.809538762337326]]"
97,1923_4,"[[35.20414457359775, 31.767511365214034], [35.24905047518903, 31.767511365214034], [35.20414457359775, 31.8148998572146], [35.24905047518903, 31.8148998572146]]"
98,1924,"[[35.20702591777795, 31.768692399881697], [35.265560604548895, 31.768692399881697], [35.20702591777795, 31.825274412726554], [35.265560604548895, 31.825274412726554]]"
99,1924_2,"[[35.218017523349275, 31.770131344222804], [35.25360398805364, 31.770131344222804], [35.218017523349275, 31.794937974969375], [35.25360398805364, 31.794937974969375]]"
100,1924_3,"[[35.20557958173401, 31.766786268332062], [35.25154038507098, 31.766786268332062], [35.20557958173401, 31.812751998497696], [35.25154038507098, 31.812751998497696]]"
101,1925_2,"[[35.203935735879924, 31.766102274981396], [35.25272224559942, 31.766102274981396], [35.203935735879924, 31.81840211363579], [35.25272224559942, 31.81840211363579]]"
102,1925_3,"[[35.20473803769888, 31.76644655068499], [35.25107645620868, 31.76644655068499], [35.20473803769888, 31.812899525927634], [35.25107645620868, 31.812899525927634]]"
103,1926,"[[35.19837523240868, 31.756103020909485], [35.260157969027446, 31.756103020909485], [35.19837523240868, 31.813584378928166], [35.260157969027446, 31.813584378928166]]"
104,1929,"[[35.18363370982617, 31.74230847862083], [35.278085999774014, 31.74230847862083], [35.18363370982617, 31.828893343225257], [35.278085999774014, 31.828893343225257]]"
105,1931,"[[35.19648300233412, 31.758166236661097], [35.26570123558408, 31.758166236661097], [35.19648300233412, 31.821477294196832], [35.26570123558408, 31.821477294196832]]"
106,1936_2,"[[35.224022640404456, 31.783127333915747], [35.23992347767207, 31.783127333915747], [35.224022640404456, 31.79994510661439], [35.23992347767207, 31.79994510661439]]"
107,1937,"[[35.20527392198362, 31.758773624143522], [35.26064601572531, 31.758773624143522], [35.20527392198362, 31.81841275265785], [35.26064601572531, 31.81841275265785]]"
